PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40
PRD0904599,CL00108,DEP00037,G00010,D00003
PRD0902824,CL00107,DEP00037,G00010,D00003
PRD0903815,CL00108,DEP00037,G00010,D00003
PRD0902082,CL00107,DEP00037,G00010,D00003
PRD0902406,CL00108,DEP00037,G00010,D00003
PRD0903835,CL00107,DEP00037,G00010,D00003
PRD0901072,CL00108,DEP00037,G00010,D00003
PRD0902891,CL00108,DEP00037,G00010,D00003
PRD0900370,CL00108,DEP00037,G00010,D00003
PRD0903138,CL00108,DEP00037,G00010,D00003
PRD0901998,CL00108,DEP00037,G00010,D00003
PRD0901071,CL00107,DEP00037,G00010,D00003
PRD0903980,CL00106,DEP00037,G00010,D00003
PRD0901000,CL00108,DEP00037,G00010,D00003
PRD0902570,CL00107,DEP00037,G00010,D00003
PRD0900104,CL00111,DEP00039,G00010,D00003
PRD0902986,CL00110,DEP00039,G00010,D00003
PRD0903158,CL00110,DEP00039,G00010,D00003
PRD0901197,CL00110,DEP00039,G00010,D00003
PRD0902758,CL00110,DEP00039,G00010,D00003
PRD0900380,CL00110,DEP00039,G00010,D00003
PRD0902936,CL00110,DEP00039,G00010,D00003
PRD0900384,CL00111,DEP00039,G00010,D00003
PRD0900887,CL00111,DEP00039,G00010,D00003
PRD0901402,CL00111,DEP00039,G00010,D00003
PRD0901909,CL00110,DEP00039,G00010,D00003
PRD0902130,CL00110,DEP00039,G00010,D00003
PRD0903370,CL00111,DEP00039,G00010,D00003
PRD0904853,CL00112,DEP00039,G00010,D00003
PRD0900399,CL00110,DEP00039,G00010,D00003
PRD0904651,CL00110,DEP00039,G00010,D00003
PRD0901987,CL00110,DEP00039,G00010,D00003
PRD0902493,CL00110,DEP00039,G00010,D00003
PRD0901876,CL00110,DEP00039,G00010,D00003
PRD0902642,CL00112,DEP00039,G00010,D00003
PRD0903270,CL00110,DEP00039,G00010,D00003
PRD0900231,CL00110,DEP00039,G00010,D00003
PRD0903043,CL00110,DEP00039,G00010,D00003
PRD0900050,CL00111,DEP00039,G00010,D00003
PRD0902648,CL00111,DEP00039,G00010,D00003
PRD0901370,CL00112,DEP00039,G00010,D00003
PRD0903536,CL00111,DEP00039,G00010,D00003
PRD0904016,CL00110,DEP00039,G00010,D00003
PRD0904494,CL00111,DEP00039,G00010,D00003
PRD0904788,CL00114,DEP00041,G00011,D00003
PRD0904855,CL00114,DEP00041,G00011,D00003
PRD0902721,CL00116,DEP00042,G00011,D00003
PRD0901074,CL00116,DEP00042,G00011,D00003
PRD0900779,CL00116,DEP00042,G00011,D00003
PRD0900275,CL00116,DEP00042,G00011,D00003
PRD0903577,CL00116,DEP00042,G00011,D00003
PRD0901642,CL00116,DEP00042,G00011,D00003
PRD0901586,CL00116,DEP00042,G00011,D00003
PRD0900661,CL00116,DEP00042,G00011,D00003
PRD0903458,CL00116,DEP00042,G00011,D00003
PRD0904617,CL00116,DEP00042,G00011,D00003
PRD0900720,CL00117,DEP00042,G00011,D00003
PRD0901047,CL00116,DEP00042,G00011,D00003
PRD0903929,CL00116,DEP00042,G00011,D00003
PRD0900911,CL00116,DEP00042,G00011,D00003
PRD0901785,CL00117,DEP00042,G00011,D00003
PRD0902578,CL00116,DEP00042,G00011,D00003
PRD0903273,CL00117,DEP00042,G00011,D00003
PRD0900074,CL00122,DEP00044,G00012,D00003
PRD0904703,CL00122,DEP00044,G00012,D00003
PRD0904435,CL00123,DEP00044,G00012,D00003
PRD0903917,CL00123,DEP00044,G00012,D00003
PRD0902967,CL00123,DEP00044,G00012,D00003
PRD0901768,CL00122,DEP00044,G00012,D00003
PRD0900476,CL00123,DEP00044,G00012,D00003
PRD0900901,CL00123,DEP00044,G00012,D00003
PRD0903870,CL00123,DEP00044,G00012,D00003
PRD0904720,CL00123,DEP00044,G00012,D00003
PRD0900037,CL00129,DEP00046,G00013,D00003
PRD0903293,CL00126,DEP00046,G00013,D00003
PRD0902885,CL00127,DEP00046,G00013,D00003
PRD0904615,CL00126,DEP00046,G00013,D00003
PRD0903687,CL00129,DEP00046,G00013,D00003
PRD0903901,CL00129,DEP00046,G00013,D00003
PRD0902621,CL00126,DEP00046,G00013,D00003
PRD0902922,CL00126,DEP00046,G00013,D00003
PRD0902887,CL00128,DEP00046,G00013,D00003
PRD0902749,CL00126,DEP00046,G00013,D00003
PRD0902863,CL00129,DEP00046,G00013,D00003
PRD0901263,CL00129,DEP00046,G00013,D00003
PRD0904843,CL00127,DEP00046,G00013,D00003
PRD0903434,CL00129,DEP00046,G00013,D00003
PRD0900260,CL00129,DEP00046,G00013,D00003
PRD0901148,CL00129,DEP00046,G00013,D00003
PRD0901290,CL00129,DEP00046,G00013,D00003
PRD0901610,CL00129,DEP00046,G00013,D00003
PRD0903799,CL00128,DEP00046,G00013,D00003
PRD0902424,CL00128,DEP00046,G00013,D00003
PRD0900355,CL00129,DEP00046,G00013,D00003
PRD0902948,CL00129,DEP00046,G00013,D00003
PRD0904707,CL00126,DEP00046,G00013,D00003
PRD0901628,CL00128,DEP00046,G00013,D00003
PRD0901140,CL00126,DEP00046,G00013,D00003
PRD0902964,CL00129,DEP00046,G00013,D00003
PRD0900421,CL00129,DEP00046,G00013,D00003
PRD0903940,CL00129,DEP00046,G00013,D00003
PRD0900702,CL00129,DEP00046,G00013,D00003
PRD0903930,CL00129,DEP00046,G00013,D00003
PRD0901343,CL00128,DEP00046,G00013,D00003
PRD0900923,CL00126,DEP00046,G00013,D00003
PRD0900034,CL00129,DEP00046,G00013,D00003
PRD0903613,CL00129,DEP00046,G00013,D00003
PRD0901684,CL00128,DEP00046,G00013,D00003
PRD0900620,CL00129,DEP00046,G00013,D00003
PRD0902914,CL00128,DEP00046,G00013,D00003
PRD0904747,CL00129,DEP00046,G00013,D00003
PRD0900130,CL00129,DEP00046,G00013,D00003
PRD0902390,CL00129,DEP00046,G00013,D00003
PRD0901611,CL00128,DEP00046,G00013,D00003
PRD0903526,CL00129,DEP00046,G00013,D00003
PRD0902034,CL00129,DEP00046,G00013,D00003
PRD0903093,CL00129,DEP00046,G00013,D00003
PRD0901284,CL00129,DEP00046,G00013,D00003
PRD0902546,CL00128,DEP00046,G00013,D00003
PRD0900551,CL00127,DEP00046,G00013,D00003
PRD0903628,CL00129,DEP00046,G00013,D00003
PRD0903974,CL00129,DEP00046,G00013,D00003
PRD0902036,CL00127,DEP00046,G00013,D00003
PRD0900484,CL00131,DEP00047,G00013,D00003
PRD0901124,CL00134,DEP00047,G00013,D00003
PRD0900069,CL00134,DEP00047,G00013,D00003
PRD0901144,CL00132,DEP00047,G00013,D00003
PRD0902077,CL00132,DEP00047,G00013,D00003
PRD0900167,CL00130,DEP00047,G00013,D00003
PRD0900593,CL00133,DEP00047,G00013,D00003
PRD0901340,CL00134,DEP00047,G00013,D00003
PRD0902398,CL00130,DEP00047,G00013,D00003
PRD0902740,CL00131,DEP00047,G00013,D00003
PRD0904181,CL00134,DEP00047,G00013,D00003
PRD0902942,CL00133,DEP00047,G00013,D00003
PRD0900459,CL00132,DEP00047,G00013,D00003
PRD0904569,CL00130,DEP00047,G00013,D00003
PRD0902527,CL00132,DEP00047,G00013,D00003
PRD0903449,CL00131,DEP00047,G00013,D00003
PRD0903686,CL00132,DEP00047,G00013,D00003
PRD0902614,CL00131,DEP00047,G00013,D00003
PRD0902970,CL00131,DEP00047,G00013,D00003
PRD0904001,CL00130,DEP00047,G00013,D00003
PRD0904027,CL00134,DEP00047,G00013,D00003
PRD0900500,CL00130,DEP00047,G00013,D00003
PRD0904452,CL00134,DEP00047,G00013,D00003
PRD0902023,CL00133,DEP00047,G00013,D00003
PRD0900868,CL00131,DEP00047,G00013,D00003
PRD0901666,CL00131,DEP00047,G00013,D00003
PRD0900125,CL00132,DEP00047,G00013,D00003
PRD0900046,CL00134,DEP00047,G00013,D00003
PRD0900274,CL00132,DEP00047,G00013,D00003
PRD0900747,CL00138,DEP00048,G00013,D00003
PRD0904353,CL00135,DEP00048,G00013,D00003
PRD0903228,CL00138,DEP00048,G00013,D00003
PRD0900559,CL00139,DEP00048,G00013,D00003
PRD0902280,CL00135,DEP00048,G00013,D00003
PRD0903739,CL00135,DEP00048,G00013,D00003
PRD0903658,CL00136,DEP00048,G00013,D00003
PRD0902146,CL00136,DEP00048,G00013,D00003
PRD0901237,CL00135,DEP00048,G00013,D00003
PRD0902402,CL00135,DEP00048,G00013,D00003
PRD0904204,CL00135,DEP00048,G00013,D00003
PRD0903834,CL00135,DEP00048,G00013,D00003
PRD0900567,CL00138,DEP00048,G00013,D00003
PRD0900228,CL00139,DEP00048,G00013,D00003
PRD0900737,CL00135,DEP00048,G00013,D00003
PRD0904545,CL00136,DEP00048,G00013,D00003
PRD0904324,CL00139,DEP00048,G00013,D00003
PRD0900087,CL00138,DEP00048,G00013,D00003
PRD0904103,CL00139,DEP00048,G00013,D00003
PRD0900433,CL00135,DEP00048,G00013,D00003
PRD0900892,CL00136,DEP00048,G00013,D00003
PRD0901542,CL00139,DEP00048,G00013,D00003
PRD0904810,CL00136,DEP00048,G00013,D00003
PRD0901455,CL00138,DEP00048,G00013,D00003
PRD0902114,CL00135,DEP00048,G00013,D00003
PRD0902496,CL00135,DEP00048,G00013,D00003
PRD0904144,CL00136,DEP00048,G00013,D00003
PRD0904055,CL00138,DEP00048,G00013,D00003
PRD0904773,CL00139,DEP00048,G00013,D00003
PRD0900092,CL00138,DEP00048,G00013,D00003
PRD0903048,CL00138,DEP00048,G00013,D00003
PRD0901705,CL00139,DEP00048,G00013,D00003
PRD0902252,CL00136,DEP00048,G00013,D00003
PRD0904288,CL00135,DEP00048,G00013,D00003
PRD0903601,CL00140,DEP00049,G00014,D00003
PRD0901953,CL00140,DEP00049,G00014,D00003
PRD0902350,CL00140,DEP00049,G00014,D00003
PRD0901868,CL00140,DEP00049,G00014,D00003
PRD0901092,CL00140,DEP00049,G00014,D00003
PRD0900610,CL00140,DEP00049,G00014,D00003
PRD0903774,CL00140,DEP00049,G00014,D00003
PRD0900649,CL00140,DEP00049,G00014,D00003
PRD0904327,CL00140,DEP00049,G00014,D00003
PRD0901911,CL00140,DEP00049,G00014,D00003
PRD0900888,CL00140,DEP00049,G00014,D00003
PRD0900157,CL00140,DEP00049,G00014,D00003
PRD0900523,CL00140,DEP00049,G00014,D00003
PRD0902883,CL00140,DEP00049,G00014,D00003
PRD0901090,CL00141,DEP00049,G00014,D00003
PRD0903827,CL00140,DEP00049,G00014,D00003
PRD0901750,CL00140,DEP00049,G00014,D00003
PRD0900658,CL00141,DEP00049,G00014,D00003
PRD0903205,CL00140,DEP00049,G00014,D00003
PRD0903202,CL00140,DEP00049,G00014,D00003
PRD0904433,CL00140,DEP00049,G00014,D00003
PRD0903505,CL00140,DEP00049,G00014,D00003
PRD0900682,CL00140,DEP00049,G00014,D00003
PRD0903442,CL00140,DEP00049,G00014,D00003
PRD0902274,CL00140,DEP00049,G00014,D00003
PRD0902101,CL00140,DEP00049,G00014,D00003
PRD0901766,CL00140,DEP00049,G00014,D00003
PRD0901544,CL00140,DEP00049,G00014,D00003
PRD0903546,CL00140,DEP00049,G00014,D00003
PRD0901469,CL00140,DEP00049,G00014,D00003
PRD0900984,CL00140,DEP00049,G00014,D00003
PRD0903755,CL00140,DEP00049,G00014,D00003
PRD0903260,CL00140,DEP00049,G00014,D00003
PRD0902460,CL00141,DEP00049,G00014,D00003
PRD0900577,CL00140,DEP00049,G00014,D00003
PRD0903823,CL00140,DEP00049,G00014,D00003
PRD0903972,CL00140,DEP00049,G00014,D00003
PRD0901823,CL00140,DEP00049,G00014,D00003
PRD0904339,CL00141,DEP00049,G00014,D00003
PRD0901297,CL00140,DEP00049,G00014,D00003
PRD0900968,CL00144,DEP00051,G00015,D00003
PRD0900885,CL00145,DEP00051,G00015,D00003
PRD0904215,CL00147,DEP00051,G00015,D00003
PRD0901692,CL00145,DEP00051,G00015,D00003
PRD0900214,CL00144,DEP00051,G00015,D00003
PRD0904225,CL00145,DEP00051,G00015,D00003
PRD0902479,CL00144,DEP00051,G00015,D00003
PRD0900003,CL00144,DEP00051,G00015,D00003
PRD0902650,CL00144,DEP00051,G00015,D00003
PRD0902014,CL00144,DEP00051,G00015,D00003
PRD0901504,CL00145,DEP00051,G00015,D00003
PRD0903782,CL00144,DEP00051,G00015,D00003
PRD0901994,CL00145,DEP00051,G00015,D00003
PRD0900429,CL00145,DEP00051,G00015,D00003
PRD0903650,CL00144,DEP00051,G00015,D00003
PRD0901514,CL00145,DEP00051,G00015,D00003
PRD0901365,CL00144,DEP00051,G00015,D00003
PRD0904043,CL00147,DEP00051,G00015,D00003
PRD0900803,CL00145,DEP00051,G00015,D00003
PRD0904959,CL00145,DEP00051,G00015,D00003
PRD0902805,CL00147,DEP00051,G00015,D00003
PRD0903073,CL00147,DEP00051,G00015,D00003
PRD0901039,CL00145,DEP00051,G00015,D00003
PRD0903271,CL00151,DEP00052,G00015,D00003
PRD0900716,CL00153,DEP00052,G00015,D00003
PRD0903677,CL00151,DEP00052,G00015,D00003
PRD0901407,CL00148,DEP00052,G00015,D00003
PRD0900873,CL00150,DEP00052,G00015,D00003
PRD0903542,CL00151,DEP00052,G00015,D00003
PRD0900878,CL00148,DEP00052,G00015,D00003
PRD0900077,CL00150,DEP00052,G00015,D00003
PRD0903741,CL00151,DEP00052,G00015,D00003
PRD0902992,CL00153,DEP00052,G00015,D00003
PRD0902517,CL00151,DEP00052,G00015,D00003
PRD0904665,CL00153,DEP00052,G00015,D00003
PRD0900818,CL00148,DEP00052,G00015,D00003
PRD0904750,CL00154,DEP00052,G00015,D00003
PRD0902121,CL00151,DEP00052,G00015,D00003
PRD0902780,CL00153,DEP00052,G00015,D00003
PRD0900311,CL00148,DEP00052,G00015,D00003
PRD0904933,CL00150,DEP00052,G00015,D00003
PRD0903282,CL00150,DEP00052,G00015,D00003
PRD0900907,CL00150,DEP00052,G00015,D00003
PRD0903685,CL00152,DEP00052,G00015,D00003
PRD0901821,CL00151,DEP00052,G00015,D00003
PRD0900732,CL00152,DEP00052,G00015,D00003
PRD0902341,CL00150,DEP00052,G00015,D00003
PRD0900436,CL00148,DEP00052,G00015,D00003
PRD0900753,CL00148,DEP00052,G00015,D00003
PRD0901329,CL00154,DEP00052,G00015,D00003
PRD0904237,CL00154,DEP00052,G00015,D00003
PRD0901984,CL00151,DEP00052,G00015,D00003
PRD0903706,CL00148,DEP00052,G00015,D00003
PRD0901720,CL00150,DEP00052,G00015,D00003
PRD0900221,CL00154,DEP00052,G00015,D00003
PRD0903115,CL00149,DEP00052,G00015,D00003
PRD0904234,CL00148,DEP00052,G00015,D00003
PRD0903372,CL00148,DEP00052,G00015,D00003
PRD0901561,CL00150,DEP00052,G00015,D00003
PRD0902840,CL00148,DEP00052,G00015,D00003
PRD0901917,CL00151,DEP00052,G00015,D00003
PRD0904868,CL00152,DEP00052,G00015,D00003
PRD0904434,CL00151,DEP00052,G00015,D00003
PRD0901569,CL00151,DEP00052,G00015,D00003
PRD0904548,CL00152,DEP00052,G00015,D00003
PRD0903044,CL00150,DEP00052,G00015,D00003
PRD0903144,CL00152,DEP00052,G00015,D00003
PRD0900939,CL00151,DEP00052,G00015,D00003
PRD0903390,CL00150,DEP00052,G00015,D00003
PRD0903204,CL00148,DEP00052,G00015,D00003
PRD0904841,CL00152,DEP00052,G00015,D00003
PRD0900986,CL00151,DEP00052,G00015,D00003
PRD0903516,CL00148,DEP00052,G00015,D00003
PRD0903494,CL00153,DEP00052,G00015,D00003
PRD0903076,CL00150,DEP00052,G00015,D00003
PRD0900076,CL00152,DEP00052,G00015,D00003
PRD0904557,CL00154,DEP00052,G00015,D00003
PRD0900622,CL00151,DEP00052,G00015,D00003
PRD0900201,CL00153,DEP00052,G00015,D00003
PRD0904391,CL00148,DEP00052,G00015,D00003
PRD0903670,CL00153,DEP00052,G00015,D00003
PRD0900181,CL00148,DEP00052,G00015,D00003
PRD0900461,CL00150,DEP00052,G00015,D00003
PRD0900675,CL00148,DEP00052,G00015,D00003
PRD0902168,CL00154,DEP00052,G00015,D00003
PRD0904916,CL00153,DEP00052,G00015,D00003
PRD0902151,CL00152,DEP00052,G00015,D00003
PRD0900971,CL00150,DEP00052,G00015,D00003
PRD0904076,CL00152,DEP00052,G00015,D00003
PRD0902289,CL00154,DEP00052,G00015,D00003
PRD0902401,CL00151,DEP00052,G00015,D00003
PRD0900555,CL00150,DEP00052,G00015,D00003
PRD0902224,CL00151,DEP00052,G00015,D00003
PRD0904507,CL00148,DEP00052,G00015,D00003
PRD0903309,CL00149,DEP00052,G00015,D00003
PRD0902142,CL00151,DEP00052,G00015,D00003
PRD0903211,CL00154,DEP00052,G00015,D00003
PRD0902694,CL00154,DEP00052,G00015,D00003
PRD0904739,CL00149,DEP00052,G00015,D00003
PRD0904240,CL00151,DEP00052,G00015,D00003
PRD0902646,CL00152,DEP00052,G00015,D00003
PRD0902175,CL00152,DEP00052,G00015,D00003
PRD0902907,CL00155,DEP00053,G00016,D00003
PRD0900584,CL00157,DEP00053,G00016,D00003
PRD0901900,CL00156,DEP00053,G00016,D00003
PRD0902671,CL00155,DEP00053,G00016,D00003
PRD0902723,CL00155,DEP00053,G00016,D00003
PRD0900528,CL00156,DEP00053,G00016,D00003
PRD0903460,CL00157,DEP00053,G00016,D00003
PRD0904212,CL00157,DEP00053,G00016,D00003
PRD0900522,CL00157,DEP00053,G00016,D00003
PRD0900264,CL00155,DEP00053,G00016,D00003
PRD0900870,CL00156,DEP00053,G00016,D00003
PRD0903817,CL00156,DEP00053,G00016,D00003
PRD0901150,CL00155,DEP00053,G00016,D00003
PRD0900746,CL00155,DEP00053,G00016,D00003
PRD0903962,CL00156,DEP00053,G00016,D00003
PRD0903373,CL00157,DEP00053,G00016,D00003
PRD0900218,CL00157,DEP00053,G00016,D00003
PRD0902221,CL00155,DEP00053,G00016,D00003
PRD0903877,CL00155,DEP00053,G00016,D00003
PRD0901837,CL00157,DEP00053,G00016,D00003
PRD0900289,CL00157,DEP00053,G00016,D00003
PRD0902724,CL00155,DEP00053,G00016,D00003
PRD0903250,CL00157,DEP00053,G00016,D00003
PRD0902498,CL00155,DEP00053,G00016,D00003
PRD0903825,CL00156,DEP00053,G00016,D00003
PRD0900670,CL00155,DEP00053,G00016,D00003
PRD0900781,CL00156,DEP00053,G00016,D00003
PRD0903050,CL00155,DEP00053,G00016,D00003
PRD0902026,CL00156,DEP00053,G00016,D00003
PRD0903399,CL00157,DEP00053,G00016,D00003
PRD0900811,CL00157,DEP00053,G00016,D00003
PRD0900487,CL00157,DEP00053,G00016,D00003
PRD0900403,CL00157,DEP00053,G00016,D00003
PRD0902434,CL00155,DEP00053,G00016,D00003
PRD0904132,CL00157,DEP00053,G00016,D00003
PRD0904440,CL00155,DEP00053,G00016,D00003
PRD0904450,CL00156,DEP00053,G00016,D00003
PRD0902499,CL00157,DEP00053,G00016,D00003
PRD0903106,CL00156,DEP00053,G00016,D00003
PRD0901170,CL00155,DEP00053,G00016,D00003
PRD0904867,CL00157,DEP00053,G00016,D00003
PRD0904194,CL00157,DEP00053,G00016,D00003
PRD0904697,CL00156,DEP00053,G00016,D00003
PRD0902796,CL00157,DEP00053,G00016,D00003
PRD0903998,CL00155,DEP00053,G00016,D00003
PRD0903058,CL00157,DEP00053,G00016,D00003
PRD0903888,CL00156,DEP00053,G00016,D00003
PRD0900475,CL00157,DEP00053,G00016,D00003
PRD0900569,CL00156,DEP00053,G00016,D00003
PRD0902093,CL00156,DEP00053,G00016,D00003
PRD0903944,CL00156,DEP00053,G00016,D00003
PRD0900774,CL00155,DEP00053,G00016,D00003
PRD0901162,CL00155,DEP00053,G00016,D00003
PRD0903869,CL00156,DEP00053,G00016,D00003
PRD0900557,CL00157,DEP00053,G00016,D00003
PRD0902332,CL00157,DEP00053,G00016,D00003
PRD0902140,CL00161,DEP00054,G00016,D00003
PRD0902431,CL00160,DEP00054,G00016,D00003
PRD0901547,CL00160,DEP00054,G00016,D00003
PRD0904229,CL00160,DEP00054,G00016,D00003
PRD0902569,CL00159,DEP00054,G00016,D00003
PRD0901141,CL00159,DEP00054,G00016,D00003
PRD0904161,CL00160,DEP00054,G00016,D00003
PRD0904397,CL00160,DEP00054,G00016,D00003
PRD0902265,CL00159,DEP00054,G00016,D00003
PRD0902926,CL00159,DEP00054,G00016,D00003
PRD0902532,CL00159,DEP00054,G00016,D00003
PRD0902477,CL00161,DEP00054,G00016,D00003
PRD0900317,CL00160,DEP00054,G00016,D00003
PRD0902247,CL00159,DEP00054,G00016,D00003
PRD0901904,CL00160,DEP00054,G00016,D00003
PRD0902213,CL00160,DEP00054,G00016,D00003
PRD0901896,CL00159,DEP00054,G00016,D00003
PRD0902453,CL00160,DEP00054,G00016,D00003
PRD0901220,CL00160,DEP00054,G00016,D00003
PRD0902924,CL00160,DEP00054,G00016,D00003
PRD0902555,CL00159,DEP00054,G00016,D00003
PRD0900996,CL00159,DEP00054,G00016,D00003
PRD0903361,CL00159,DEP00054,G00016,D00003
PRD0904002,CL00159,DEP00054,G00016,D00003
PRD0903329,CL00161,DEP00054,G00016,D00003
PRD0902013,CL00159,DEP00054,G00016,D00003
PRD0901082,CL00159,DEP00054,G00016,D00003
PRD0901105,CL00159,DEP00054,G00016,D00003
PRD0902125,CL00160,DEP00054,G00016,D00003
PRD0904936,CL00160,DEP00054,G00016,D00003
PRD0904297,CL00161,DEP00054,G00016,D00003
PRD0902383,CL00160,DEP00054,G00016,D00003
PRD0904208,CL00159,DEP00054,G00016,D00003
PRD0904900,CL00161,DEP00054,G00016,D00003
PRD0904770,CL00160,DEP00054,G00016,D00003
PRD0904453,CL00159,DEP00054,G00016,D00003
PRD0904243,CL00160,DEP00054,G00016,D00003
PRD0900846,CL00159,DEP00054,G00016,D00003
PRD0903773,CL00159,DEP00054,G00016,D00003
PRD0901077,CL00161,DEP00054,G00016,D00003
PRD0904398,CL00160,DEP00054,G00016,D00003
PRD0903599,CL00159,DEP00054,G00016,D00003
PRD0903114,CL00160,DEP00054,G00016,D00003
PRD0902736,CL00159,DEP00054,G00016,D00003
PRD0904803,CL00160,DEP00054,G00016,D00003
PRD0902467,CL00159,DEP00054,G00016,D00003
PRD0904856,CL00161,DEP00054,G00016,D00003
PRD0904444,CL00160,DEP00054,G00016,D00003
PRD0902916,CL00160,DEP00054,G00016,D00003
PRD0903154,CL00160,DEP00054,G00016,D00003
PRD0902816,CL00160,DEP00054,G00016,D00003
PRD0904682,CL00159,DEP00054,G00016,D00003
PRD0901918,CL00161,DEP00054,G00016,D00003
PRD0904427,CL00160,DEP00054,G00016,D00003
PRD0902923,CL00159,DEP00054,G00016,D00003
PRD0901780,CL00159,DEP00054,G00016,D00003
PRD0902600,CL00160,DEP00054,G00016,D00003
PRD0901426,CL00160,DEP00054,G00016,D00003
PRD0900310,CL00159,DEP00054,G00016,D00003
PRD0903161,CL00159,DEP00054,G00016,D00003
PRD0902562,CL00159,DEP00054,G00016,D00003
PRD0903197,CL00159,DEP00054,G00016,D00003
PRD0904093,CL00161,DEP00054,G00016,D00003
PRD0902216,CL00165,DEP00055,G00016,D00003
PRD0900815,CL00164,DEP00055,G00016,D00003
PRD0904816,CL00167,DEP00055,G00016,D00003
PRD0901606,CL00163,DEP00055,G00016,D00003
PRD0900962,CL00164,DEP00055,G00016,D00003
PRD0903348,CL00163,DEP00055,G00016,D00003
PRD0900734,CL00162,DEP00055,G00016,D00003
PRD0903184,CL00163,DEP00055,G00016,D00003
PRD0902219,CL00164,DEP00055,G00016,D00003
PRD0903290,CL00162,DEP00055,G00016,D00003
PRD0901295,CL00163,DEP00055,G00016,D00003
PRD0900131,CL00163,DEP00055,G00016,D00003
PRD0904493,CL00162,DEP00055,G00016,D00003
PRD0903907,CL00162,DEP00055,G00016,D00003
PRD0902318,CL00164,DEP00055,G00016,D00003
PRD0902963,CL00164,DEP00055,G00016,D00003
PRD0900745,CL00163,DEP00055,G00016,D00003
PRD0904993,CL00162,DEP00055,G00016,D00003
PRD0904372,CL00163,DEP00055,G00016,D00003
PRD0903711,CL00162,DEP00055,G00016,D00003
PRD0900265,CL00163,DEP00055,G00016,D00003
PRD0904842,CL00163,DEP00055,G00016,D00003
PRD0902293,CL00167,DEP00055,G00016,D00003
PRD0904290,CL00167,DEP00055,G00016,D00003
PRD0904124,CL00165,DEP00055,G00016,D00003
PRD0903618,CL00163,DEP00055,G00016,D00003
PRD0900534,CL00162,DEP00055,G00016,D00003
PRD0903276,CL00165,DEP00055,G00016,D00003
PRD0901850,CL00162,DEP00055,G00016,D00003
PRD0900572,CL00163,DEP00055,G00016,D00003
PRD0900032,CL00163,DEP00055,G00016,D00003
PRD0901319,CL00163,DEP00055,G00016,D00003
PRD0903096,CL00164,DEP00055,G00016,D00003
PRD0900601,CL00167,DEP00055,G00016,D00003
PRD0902228,CL00165,DEP00055,G00016,D00003
PRD0904312,CL00167,DEP00055,G00016,D00003
PRD0903229,CL00163,DEP00055,G00016,D00003
PRD0903484,CL00162,DEP00055,G00016,D00003
PRD0903851,CL00164,DEP00055,G00016,D00003
PRD0904992,CL00167,DEP00055,G00016,D00003
PRD0900513,CL00163,DEP00055,G00016,D00003
PRD0903605,CL00163,DEP00055,G00016,D00003
PRD0901537,CL00163,DEP00055,G00016,D00003
PRD0900301,CL00167,DEP00055,G00016,D00003
PRD0903110,CL00164,DEP00055,G00016,D00003
PRD0902347,CL00163,DEP00055,G00016,D00003
PRD0904690,CL00163,DEP00055,G00016,D00003
PRD0902355,CL00163,DEP00055,G00016,D00003
PRD0904326,CL00163,DEP00055,G00016,D00003
PRD0901052,CL00162,DEP00055,G00016,D00003
PRD0904118,CL00167,DEP00055,G00016,D00003
PRD0900550,CL00167,DEP00055,G00016,D00003
PRD0900796,CL00163,DEP00055,G00016,D00003
PRD0901262,CL00163,DEP00055,G00016,D00003
PRD0903301,CL00162,DEP00055,G00016,D00003
PRD0900025,CL00163,DEP00055,G00016,D00003
PRD0900727,CL00162,DEP00055,G00016,D00003
PRD0900525,CL00163,DEP00055,G00016,D00003
PRD0900570,CL00163,DEP00055,G00016,D00003
PRD0904482,CL00162,DEP00055,G00016,D00003
PRD0904241,CL00164,DEP00055,G00016,D00003
PRD0900614,CL00162,DEP00055,G00016,D00003
PRD0900323,CL00167,DEP00055,G00016,D00003
PRD0901767,CL00162,DEP00055,G00016,D00003
PRD0902868,CL00163,DEP00055,G00016,D00003
PRD0902049,CL00164,DEP00055,G00016,D00003
PRD0903448,CL00167,DEP00055,G00016,D00003
PRD0904058,CL00163,DEP00055,G00016,D00003
PRD0901113,CL00164,DEP00055,G00016,D00003
PRD0901168,CL00163,DEP00055,G00016,D00003
PRD0900865,CL00163,DEP00055,G00016,D00003
PRD0901413,CL00163,DEP00055,G00016,D00003
PRD0901558,CL00163,DEP00055,G00016,D00003
PRD0902358,CL00164,DEP00055,G00016,D00003
PRD0904930,CL00162,DEP00055,G00016,D00003
PRD0901813,CL00163,DEP00055,G00016,D00003
PRD0901958,CL00162,DEP00055,G00016,D00003
PRD0903809,CL00162,DEP00055,G00016,D00003
PRD0903234,CL00201,DEP00067,G00021,D00005
PRD0900710,CL00195,DEP00067,G00021,D00005
PRD0902507,CL00198,DEP00067,G00021,D00005
PRD0902165,CL00195,DEP00067,G00021,D00005
PRD0902901,CL00200,DEP00067,G00021,D00005
PRD0903214,CL00196,DEP00067,G00021,D00005
PRD0901977,CL00198,DEP00067,G00021,D00005
PRD0903806,CL00201,DEP00067,G00021,D00005
PRD0903496,CL00201,DEP00067,G00021,D00005
PRD0902214,CL00201,DEP00067,G00021,D00005
PRD0902375,CL00201,DEP00067,G00021,D00005
